// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\c7586b33-2d6d-4136-ae64-fdac3546c46b
// command took 1.19s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\c7586b33-2d6d-4136-ae64-fdac3546c46b
// command took 13.64s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\c7586b33-2d6d-4136-ae64-fdac3546c46b
// command took 2.87s and exited with 0
// ***** Done, took 00:00:17 (17.93 sec)   *****
// Found 3 benchmarks:
//   Implementations.GetMostFrequentWithLinq: DefaultJob
//   Implementations.GetMostFrequentWithDictionary: DefaultJob
//   Implementations.GetMostFrequentWithLinqMixedWithDictionary: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: Implementations.GetMostFrequentWithLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet c7586b33-2d6d-4136-ae64-fdac3546c46b.dll --anonymousPipes 1252 1876 --benchmarkName FindMostFrequent.Implementations.GetMostFrequentWithLinq --job Default --benchmarkId 0 in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\c7586b33-2d6d-4136-ae64-fdac3546c46b\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.15 (6.0.1523.11507), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 305500.00 ns, 305.5000 us/op
WorkloadJitting  1: 1 op, 7169565200.00 ns, 7.1696 s/op

OverheadJitting  2: 1 op, 300.00 ns, 300.0000 ns/op
WorkloadJitting  2: 1 op, 8175063900.00 ns, 8.1751 s/op

WorkloadWarmup   1: 1 op, 7905258900.00 ns, 7.9053 s/op
WorkloadWarmup   2: 1 op, 7127459700.00 ns, 7.1275 s/op
WorkloadWarmup   3: 1 op, 7836011500.00 ns, 7.8360 s/op
WorkloadWarmup   4: 1 op, 8317581000.00 ns, 8.3176 s/op
WorkloadWarmup   5: 1 op, 7822522400.00 ns, 7.8225 s/op
WorkloadWarmup   6: 1 op, 7444211700.00 ns, 7.4442 s/op
WorkloadWarmup   7: 1 op, 7663526200.00 ns, 7.6635 s/op
WorkloadWarmup   8: 1 op, 7892235000.00 ns, 7.8922 s/op
WorkloadWarmup   9: 1 op, 8013615900.00 ns, 8.0136 s/op
WorkloadWarmup  10: 1 op, 7844902300.00 ns, 7.8449 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 8902344600.00 ns, 8.9023 s/op
WorkloadActual   2: 1 op, 7155062900.00 ns, 7.1551 s/op
WorkloadActual   3: 1 op, 7575759900.00 ns, 7.5758 s/op
WorkloadActual   4: 1 op, 7303509000.00 ns, 7.3035 s/op
WorkloadActual   5: 1 op, 7821639700.00 ns, 7.8216 s/op
WorkloadActual   6: 1 op, 8516157800.00 ns, 8.5162 s/op
WorkloadActual   7: 1 op, 7794654800.00 ns, 7.7947 s/op
WorkloadActual   8: 1 op, 6986494800.00 ns, 6.9865 s/op
WorkloadActual   9: 1 op, 8391444700.00 ns, 8.3914 s/op
WorkloadActual  10: 1 op, 8327267700.00 ns, 8.3273 s/op
WorkloadActual  11: 1 op, 7899060800.00 ns, 7.8991 s/op
WorkloadActual  12: 1 op, 6773075100.00 ns, 6.7731 s/op
WorkloadActual  13: 1 op, 6921627400.00 ns, 6.9216 s/op
WorkloadActual  14: 1 op, 7019517400.00 ns, 7.0195 s/op
WorkloadActual  15: 1 op, 7839689100.00 ns, 7.8397 s/op
WorkloadActual  16: 1 op, 8534238500.00 ns, 8.5342 s/op
WorkloadActual  17: 1 op, 8540008600.00 ns, 8.5400 s/op
WorkloadActual  18: 1 op, 7032676000.00 ns, 7.0327 s/op
WorkloadActual  19: 1 op, 6565070900.00 ns, 6.5651 s/op
WorkloadActual  20: 1 op, 8479604800.00 ns, 8.4796 s/op
WorkloadActual  21: 1 op, 7302536500.00 ns, 7.3025 s/op
WorkloadActual  22: 1 op, 7006637000.00 ns, 7.0066 s/op
WorkloadActual  23: 1 op, 8551687700.00 ns, 8.5517 s/op
WorkloadActual  24: 1 op, 8420303700.00 ns, 8.4203 s/op
WorkloadActual  25: 1 op, 7819368900.00 ns, 7.8194 s/op
WorkloadActual  26: 1 op, 7076830000.00 ns, 7.0768 s/op
WorkloadActual  27: 1 op, 8615598600.00 ns, 8.6156 s/op
WorkloadActual  28: 1 op, 8656611600.00 ns, 8.6566 s/op
WorkloadActual  29: 1 op, 8013286500.00 ns, 8.0133 s/op
WorkloadActual  30: 1 op, 7063433500.00 ns, 7.0634 s/op
WorkloadActual  31: 1 op, 8105683700.00 ns, 8.1057 s/op
WorkloadActual  32: 1 op, 6969421200.00 ns, 6.9694 s/op
WorkloadActual  33: 1 op, 7353559100.00 ns, 7.3536 s/op
WorkloadActual  34: 1 op, 6769369200.00 ns, 6.7694 s/op
WorkloadActual  35: 1 op, 7993215200.00 ns, 7.9932 s/op
WorkloadActual  36: 1 op, 8053679000.00 ns, 8.0537 s/op
WorkloadActual  37: 1 op, 7683566800.00 ns, 7.6836 s/op
WorkloadActual  38: 1 op, 7771381600.00 ns, 7.7714 s/op
WorkloadActual  39: 1 op, 7650847000.00 ns, 7.6508 s/op
WorkloadActual  40: 1 op, 6929505700.00 ns, 6.9295 s/op
WorkloadActual  41: 1 op, 7766661000.00 ns, 7.7667 s/op
WorkloadActual  42: 1 op, 7581542000.00 ns, 7.5815 s/op
WorkloadActual  43: 1 op, 7595608400.00 ns, 7.5956 s/op
WorkloadActual  44: 1 op, 7423052400.00 ns, 7.4231 s/op
WorkloadActual  45: 1 op, 6871991200.00 ns, 6.8720 s/op
WorkloadActual  46: 1 op, 7773714200.00 ns, 7.7737 s/op
WorkloadActual  47: 1 op, 7611025100.00 ns, 7.6110 s/op
WorkloadActual  48: 1 op, 8178112300.00 ns, 8.1781 s/op
WorkloadActual  49: 1 op, 8005555200.00 ns, 8.0056 s/op
WorkloadActual  50: 1 op, 7430367800.00 ns, 7.4304 s/op
WorkloadActual  51: 1 op, 6814264400.00 ns, 6.8143 s/op
WorkloadActual  52: 1 op, 7431475600.00 ns, 7.4315 s/op
WorkloadActual  53: 1 op, 6595462600.00 ns, 6.5955 s/op
WorkloadActual  54: 1 op, 6665411500.00 ns, 6.6654 s/op
WorkloadActual  55: 1 op, 7640802400.00 ns, 7.6408 s/op
WorkloadActual  56: 1 op, 7630690700.00 ns, 7.6307 s/op
WorkloadActual  57: 1 op, 6925737400.00 ns, 6.9257 s/op
WorkloadActual  58: 1 op, 7972198500.00 ns, 7.9722 s/op
WorkloadActual  59: 1 op, 7677569200.00 ns, 7.6776 s/op
WorkloadActual  60: 1 op, 7535960600.00 ns, 7.5360 s/op
WorkloadActual  61: 1 op, 7370005300.00 ns, 7.3700 s/op
WorkloadActual  62: 1 op, 6793159000.00 ns, 6.7932 s/op
WorkloadActual  63: 1 op, 7609070900.00 ns, 7.6091 s/op
WorkloadActual  64: 1 op, 7579366000.00 ns, 7.5794 s/op
WorkloadActual  65: 1 op, 6881285600.00 ns, 6.8813 s/op
WorkloadActual  66: 1 op, 7703931500.00 ns, 7.7039 s/op
WorkloadActual  67: 1 op, 7486887300.00 ns, 7.4869 s/op
WorkloadActual  68: 1 op, 6870741900.00 ns, 6.8707 s/op
WorkloadActual  69: 1 op, 7359909700.00 ns, 7.3599 s/op
WorkloadActual  70: 1 op, 6730374200.00 ns, 6.7304 s/op
WorkloadActual  71: 1 op, 6795728200.00 ns, 6.7957 s/op
WorkloadActual  72: 1 op, 7564789100.00 ns, 7.5648 s/op
WorkloadActual  73: 1 op, 6839843200.00 ns, 6.8398 s/op
WorkloadActual  74: 1 op, 7661002900.00 ns, 7.6610 s/op
WorkloadActual  75: 1 op, 7522155700.00 ns, 7.5222 s/op
WorkloadActual  76: 1 op, 6906491800.00 ns, 6.9065 s/op
WorkloadActual  77: 1 op, 7391004500.00 ns, 7.3910 s/op
WorkloadActual  78: 1 op, 6954721600.00 ns, 6.9547 s/op
WorkloadActual  79: 1 op, 7675509200.00 ns, 7.6755 s/op
WorkloadActual  80: 1 op, 7170777100.00 ns, 7.1708 s/op
WorkloadActual  81: 1 op, 7678803200.00 ns, 7.6788 s/op
WorkloadActual  82: 1 op, 6936945500.00 ns, 6.9369 s/op
WorkloadActual  83: 1 op, 7898535000.00 ns, 7.8985 s/op
WorkloadActual  84: 1 op, 7865070900.00 ns, 7.8651 s/op
WorkloadActual  85: 1 op, 7255603300.00 ns, 7.2556 s/op
WorkloadActual  86: 1 op, 8426709100.00 ns, 8.4267 s/op
WorkloadActual  87: 1 op, 8155086400.00 ns, 8.1551 s/op
WorkloadActual  88: 1 op, 7913510100.00 ns, 7.9135 s/op
WorkloadActual  89: 1 op, 7248631500.00 ns, 7.2486 s/op
WorkloadActual  90: 1 op, 7868817500.00 ns, 7.8688 s/op
WorkloadActual  91: 1 op, 7257649400.00 ns, 7.2576 s/op
WorkloadActual  92: 1 op, 7901111300.00 ns, 7.9011 s/op
WorkloadActual  93: 1 op, 7072550300.00 ns, 7.0726 s/op
WorkloadActual  94: 1 op, 8014953600.00 ns, 8.0150 s/op
WorkloadActual  95: 1 op, 8213067900.00 ns, 8.2131 s/op
WorkloadActual  96: 1 op, 8327431900.00 ns, 8.3274 s/op
WorkloadActual  97: 1 op, 7305976600.00 ns, 7.3060 s/op
WorkloadActual  98: 1 op, 7779105200.00 ns, 7.7791 s/op
WorkloadActual  99: 1 op, 7058944300.00 ns, 7.0589 s/op
WorkloadActual  100: 1 op, 7847461800.00 ns, 7.8475 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 8902344600.00 ns, 8.9023 s/op
WorkloadResult   2: 1 op, 7155062900.00 ns, 7.1551 s/op
WorkloadResult   3: 1 op, 7575759900.00 ns, 7.5758 s/op
WorkloadResult   4: 1 op, 7303509000.00 ns, 7.3035 s/op
WorkloadResult   5: 1 op, 7821639700.00 ns, 7.8216 s/op
WorkloadResult   6: 1 op, 8516157800.00 ns, 8.5162 s/op
WorkloadResult   7: 1 op, 7794654800.00 ns, 7.7947 s/op
WorkloadResult   8: 1 op, 6986494800.00 ns, 6.9865 s/op
WorkloadResult   9: 1 op, 8391444700.00 ns, 8.3914 s/op
WorkloadResult  10: 1 op, 8327267700.00 ns, 8.3273 s/op
WorkloadResult  11: 1 op, 7899060800.00 ns, 7.8991 s/op
WorkloadResult  12: 1 op, 6773075100.00 ns, 6.7731 s/op
WorkloadResult  13: 1 op, 6921627400.00 ns, 6.9216 s/op
WorkloadResult  14: 1 op, 7019517400.00 ns, 7.0195 s/op
WorkloadResult  15: 1 op, 7839689100.00 ns, 7.8397 s/op
WorkloadResult  16: 1 op, 8534238500.00 ns, 8.5342 s/op
WorkloadResult  17: 1 op, 8540008600.00 ns, 8.5400 s/op
WorkloadResult  18: 1 op, 7032676000.00 ns, 7.0327 s/op
WorkloadResult  19: 1 op, 6565070900.00 ns, 6.5651 s/op
WorkloadResult  20: 1 op, 8479604800.00 ns, 8.4796 s/op
WorkloadResult  21: 1 op, 7302536500.00 ns, 7.3025 s/op
WorkloadResult  22: 1 op, 7006637000.00 ns, 7.0066 s/op
WorkloadResult  23: 1 op, 8551687700.00 ns, 8.5517 s/op
WorkloadResult  24: 1 op, 8420303700.00 ns, 8.4203 s/op
WorkloadResult  25: 1 op, 7819368900.00 ns, 7.8194 s/op
WorkloadResult  26: 1 op, 7076830000.00 ns, 7.0768 s/op
WorkloadResult  27: 1 op, 8615598600.00 ns, 8.6156 s/op
WorkloadResult  28: 1 op, 8656611600.00 ns, 8.6566 s/op
WorkloadResult  29: 1 op, 8013286500.00 ns, 8.0133 s/op
WorkloadResult  30: 1 op, 7063433500.00 ns, 7.0634 s/op
WorkloadResult  31: 1 op, 8105683700.00 ns, 8.1057 s/op
WorkloadResult  32: 1 op, 6969421200.00 ns, 6.9694 s/op
WorkloadResult  33: 1 op, 7353559100.00 ns, 7.3536 s/op
WorkloadResult  34: 1 op, 6769369200.00 ns, 6.7694 s/op
WorkloadResult  35: 1 op, 7993215200.00 ns, 7.9932 s/op
WorkloadResult  36: 1 op, 8053679000.00 ns, 8.0537 s/op
WorkloadResult  37: 1 op, 7683566800.00 ns, 7.6836 s/op
WorkloadResult  38: 1 op, 7771381600.00 ns, 7.7714 s/op
WorkloadResult  39: 1 op, 7650847000.00 ns, 7.6508 s/op
WorkloadResult  40: 1 op, 6929505700.00 ns, 6.9295 s/op
WorkloadResult  41: 1 op, 7766661000.00 ns, 7.7667 s/op
WorkloadResult  42: 1 op, 7581542000.00 ns, 7.5815 s/op
WorkloadResult  43: 1 op, 7595608400.00 ns, 7.5956 s/op
WorkloadResult  44: 1 op, 7423052400.00 ns, 7.4231 s/op
WorkloadResult  45: 1 op, 6871991200.00 ns, 6.8720 s/op
WorkloadResult  46: 1 op, 7773714200.00 ns, 7.7737 s/op
