// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\15fe078e-c0b4-4718-abdf-a4cea210c1ac
// command took 1.9s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\15fe078e-c0b4-4718-abdf-a4cea210c1ac
// command took 12.43s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\15fe078e-c0b4-4718-abdf-a4cea210c1ac
// command took 2.26s and exited with 0
// ***** Done, took 00:00:16 (16.86 sec)   *****
// Found 3 benchmarks:
//   Implementations.GetMostFrequentWithLinq: DefaultJob
//   Implementations.GetMostFrequentWithDictionary: DefaultJob
//   Implementations.GetMostFrequentWithLinqMixedWithDictionary: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: Implementations.GetMostFrequentWithLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 15fe078e-c0b4-4718-abdf-a4cea210c1ac.dll --anonymousPipes 1356 1332 --benchmarkName FindMostFrequent.Implementations.GetMostFrequentWithLinq --job Default --benchmarkId 0 in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\15fe078e-c0b4-4718-abdf-a4cea210c1ac\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.15 (6.0.1523.11507), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 208100.00 ns, 208.1000 us/op
WorkloadJitting  1: 1 op, 5034900.00 ns, 5.0349 ms/op

OverheadJitting  2: 16 op, 252900.00 ns, 15.8063 us/op
WorkloadJitting  2: 16 op, 78440200.00 ns, 4.9025 ms/op

WorkloadPilot    1: 16 op, 70310900.00 ns, 4.3944 ms/op
WorkloadPilot    2: 32 op, 102701600.00 ns, 3.2094 ms/op
WorkloadPilot    3: 64 op, 252320800.00 ns, 3.9425 ms/op
WorkloadPilot    4: 128 op, 498027400.00 ns, 3.8908 ms/op
WorkloadPilot    5: 256 op, 1018434900.00 ns, 3.9783 ms/op

OverheadWarmup   1: 256 op, 1700.00 ns, 6.6406 ns/op
OverheadWarmup   2: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   3: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   4: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   5: 256 op, 700.00 ns, 2.7344 ns/op
OverheadWarmup   6: 256 op, 700.00 ns, 2.7344 ns/op

OverheadActual   1: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   2: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   3: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   4: 256 op, 1000.00 ns, 3.9062 ns/op
OverheadActual   5: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   6: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   7: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   8: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   9: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  10: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  11: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  12: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  13: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  14: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  15: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  16: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  17: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  18: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  19: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  20: 256 op, 800.00 ns, 3.1250 ns/op

WorkloadWarmup   1: 256 op, 1007280900.00 ns, 3.9347 ms/op
WorkloadWarmup   2: 256 op, 1002682100.00 ns, 3.9167 ms/op
WorkloadWarmup   3: 256 op, 971980600.00 ns, 3.7968 ms/op
WorkloadWarmup   4: 256 op, 1059724100.00 ns, 4.1395 ms/op
WorkloadWarmup   5: 256 op, 1050529600.00 ns, 4.1036 ms/op
WorkloadWarmup   6: 256 op, 1049502900.00 ns, 4.0996 ms/op
WorkloadWarmup   7: 256 op, 1099448400.00 ns, 4.2947 ms/op
WorkloadWarmup   8: 256 op, 1115957100.00 ns, 4.3592 ms/op
WorkloadWarmup   9: 256 op, 1015909100.00 ns, 3.9684 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 1030496700.00 ns, 4.0254 ms/op
WorkloadActual   2: 256 op, 1073293700.00 ns, 4.1926 ms/op
WorkloadActual   3: 256 op, 1036337200.00 ns, 4.0482 ms/op
WorkloadActual   4: 256 op, 1092177800.00 ns, 4.2663 ms/op
WorkloadActual   5: 256 op, 1010778600.00 ns, 3.9484 ms/op
WorkloadActual   6: 256 op, 1108281800.00 ns, 4.3292 ms/op
WorkloadActual   7: 256 op, 1054367100.00 ns, 4.1186 ms/op
WorkloadActual   8: 256 op, 1080403700.00 ns, 4.2203 ms/op
WorkloadActual   9: 256 op, 1128264700.00 ns, 4.4073 ms/op
WorkloadActual  10: 256 op, 1131886200.00 ns, 4.4214 ms/op
WorkloadActual  11: 256 op, 1069608900.00 ns, 4.1782 ms/op
WorkloadActual  12: 256 op, 1107545000.00 ns, 4.3263 ms/op
WorkloadActual  13: 256 op, 1139709500.00 ns, 4.4520 ms/op
WorkloadActual  14: 256 op, 1183656700.00 ns, 4.6237 ms/op
WorkloadActual  15: 256 op, 1159536400.00 ns, 4.5294 ms/op
WorkloadActual  16: 256 op, 1153059900.00 ns, 4.5041 ms/op
WorkloadActual  17: 256 op, 1097527900.00 ns, 4.2872 ms/op
WorkloadActual  18: 256 op, 1127059300.00 ns, 4.4026 ms/op
WorkloadActual  19: 256 op, 1103966700.00 ns, 4.3124 ms/op
WorkloadActual  20: 256 op, 1043714900.00 ns, 4.0770 ms/op
WorkloadActual  21: 256 op, 1034870400.00 ns, 4.0425 ms/op
WorkloadActual  22: 256 op, 1079282500.00 ns, 4.2159 ms/op
WorkloadActual  23: 256 op, 1090202400.00 ns, 4.2586 ms/op
WorkloadActual  24: 256 op, 982210200.00 ns, 3.8368 ms/op
WorkloadActual  25: 256 op, 1087616200.00 ns, 4.2485 ms/op
WorkloadActual  26: 256 op, 1037019100.00 ns, 4.0509 ms/op
WorkloadActual  27: 256 op, 1106310600.00 ns, 4.3215 ms/op
WorkloadActual  28: 256 op, 1119312600.00 ns, 4.3723 ms/op
WorkloadActual  29: 256 op, 1058494200.00 ns, 4.1347 ms/op
WorkloadActual  30: 256 op, 1107500000.00 ns, 4.3262 ms/op
WorkloadActual  31: 256 op, 1030195400.00 ns, 4.0242 ms/op
WorkloadActual  32: 256 op, 1060581200.00 ns, 4.1429 ms/op
WorkloadActual  33: 256 op, 1110060700.00 ns, 4.3362 ms/op
WorkloadActual  34: 256 op, 1104192100.00 ns, 4.3133 ms/op
WorkloadActual  35: 256 op, 965945100.00 ns, 3.7732 ms/op
WorkloadActual  36: 256 op, 1078613200.00 ns, 4.2133 ms/op
WorkloadActual  37: 256 op, 1089515000.00 ns, 4.2559 ms/op
WorkloadActual  38: 256 op, 1095046000.00 ns, 4.2775 ms/op
WorkloadActual  39: 256 op, 1078563800.00 ns, 4.2131 ms/op
WorkloadActual  40: 256 op, 1101471200.00 ns, 4.3026 ms/op
WorkloadActual  41: 256 op, 1122185500.00 ns, 4.3835 ms/op
WorkloadActual  42: 256 op, 1123127900.00 ns, 4.3872 ms/op
WorkloadActual  43: 256 op, 1067895400.00 ns, 4.1715 ms/op
WorkloadActual  44: 256 op, 1100048100.00 ns, 4.2971 ms/op
WorkloadActual  45: 256 op, 1050335300.00 ns, 4.1029 ms/op
WorkloadActual  46: 256 op, 981504000.00 ns, 3.8340 ms/op
WorkloadActual  47: 256 op, 998321700.00 ns, 3.8997 ms/op
WorkloadActual  48: 256 op, 1038007000.00 ns, 4.0547 ms/op
WorkloadActual  49: 256 op, 1063022000.00 ns, 4.1524 ms/op
WorkloadActual  50: 256 op, 1019884100.00 ns, 3.9839 ms/op
WorkloadActual  51: 256 op, 1098606000.00 ns, 4.2914 ms/op
WorkloadActual  52: 256 op, 1110216900.00 ns, 4.3368 ms/op
WorkloadActual  53: 256 op, 1057372700.00 ns, 4.1304 ms/op
WorkloadActual  54: 256 op, 1037909500.00 ns, 4.0543 ms/op
WorkloadActual  55: 256 op, 1066704200.00 ns, 4.1668 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 1030495900.00 ns, 4.0254 ms/op
WorkloadResult   2: 256 op, 1073292900.00 ns, 4.1926 ms/op
WorkloadResult   3: 256 op, 1036336400.00 ns, 4.0482 ms/op
WorkloadResult   4: 256 op, 1092177000.00 ns, 4.2663 ms/op
WorkloadResult   5: 256 op, 1010777800.00 ns, 3.9484 ms/op
WorkloadResult   6: 256 op, 1108281000.00 ns, 4.3292 ms/op
WorkloadResult   7: 256 op, 1054366300.00 ns, 4.1186 ms/op
WorkloadResult   8: 256 op, 1080402900.00 ns, 4.2203 ms/op
WorkloadResult   9: 256 op, 1128263900.00 ns, 4.4073 ms/op
WorkloadResult  10: 256 op, 1131885400.00 ns, 4.4214 ms/op
WorkloadResult  11: 256 op, 1069608100.00 ns, 4.1782 ms/op
WorkloadResult  12: 256 op, 1107544200.00 ns, 4.3263 ms/op
WorkloadResult  13: 256 op, 1139708700.00 ns, 4.4520 ms/op
WorkloadResult  14: 256 op, 1183655900.00 ns, 4.6237 ms/op
WorkloadResult  15: 256 op, 1159535600.00 ns, 4.5294 ms/op
WorkloadResult  16: 256 op, 1153059100.00 ns, 4.5041 ms/op
WorkloadResult  17: 256 op, 1097527100.00 ns, 4.2872 ms/op
WorkloadResult  18: 256 op, 1127058500.00 ns, 4.4026 ms/op
WorkloadResult  19: 256 op, 1103965900.00 ns, 4.3124 ms/op
WorkloadResult  20: 256 op, 1043714100.00 ns, 4.0770 ms/op
WorkloadResult  21: 256 op, 1034869600.00 ns, 4.0425 ms/op
WorkloadResult  22: 256 op, 1079281700.00 ns, 4.2159 ms/op
WorkloadResult  23: 256 op, 1090201600.00 ns, 4.2586 ms/op
WorkloadResult  24: 256 op, 982209400.00 ns, 3.8368 ms/op
WorkloadResult  25: 256 op, 1087615400.00 ns, 4.2485 ms/op
WorkloadResult  26: 256 op, 1037018300.00 ns, 4.0509 ms/op
WorkloadResult  27: 256 op, 1106309800.00 ns, 4.3215 ms/op
WorkloadResult  28: 256 op, 1119311800.00 ns, 4.3723 ms/op
WorkloadResult  29: 256 op, 1058493400.00 ns, 4.1347 ms/op
WorkloadResult  30: 256 op, 1107499200.00 ns, 4.3262 ms/op
WorkloadResult  31: 256 op, 1030194600.00 ns, 4.0242 ms/op
WorkloadResult  32: 256 op, 1060580400.00 ns, 4.1429 ms/op
WorkloadResult  33: 256 op, 1110059900.00 ns, 4.3362 ms/op
WorkloadResult  34: 256 op, 1104191300.00 ns, 4.3132 ms/op
WorkloadResult  35: 256 op, 965944300.00 ns, 3.7732 ms/op
WorkloadResult  36: 256 op, 1078612400.00 ns, 4.2133 ms/op
WorkloadResult  37: 256 op, 1089514200.00 ns, 4.2559 ms/op
WorkloadResult  38: 256 op, 1095045200.00 ns, 4.2775 ms/op
WorkloadResult  39: 256 op, 1078563000.00 ns, 4.2131 ms/op
WorkloadResult  40: 256 op, 1101470400.00 ns, 4.3026 ms/op
WorkloadResult  41: 256 op, 1122184700.00 ns, 4.3835 ms/op
WorkloadResult  42: 256 op, 1123127100.00 ns, 4.3872 ms/op
WorkloadResult  43: 256 op, 1067894600.00 ns, 4.1715 ms/op
WorkloadResult  44: 256 op, 1100047300.00 ns, 4.2971 ms/op
WorkloadResult  45: 256 op, 1050334500.00 ns, 4.1029 ms/op
WorkloadResult  46: 256 op, 981503200.00 ns, 3.8340 ms/op
WorkloadResult  47: 256 op, 998320900.00 ns, 3.8997 ms/op
WorkloadResult  48: 256 op, 1038006200.00 ns, 4.0547 ms/op
WorkloadResult  49: 256 op, 1063021200.00 ns, 4.1524 ms/op
WorkloadResult  50: 256 op, 1019883300.00 ns, 3.9839 ms/op
WorkloadResult  51: 256 op, 1098605200.00 ns, 4.2914 ms/op
WorkloadResult  52: 256 op, 1110216100.00 ns, 4.3368 ms/op
WorkloadResult  53: 256 op, 1057371900.00 ns, 4.1304 ms/op
WorkloadResult  54: 256 op, 1037908700.00 ns, 4.0543 ms/op
WorkloadResult  55: 256 op, 1066703400.00 ns, 4.1668 ms/op
// GC:  98 52 20 584966608 256
// Threading:  0 0 256

// AfterAll
// Benchmark Process 10264 has exited with code 0.

Mean = 4.210 ms, StdErr = 0.024 ms (0.57%), N = 55, StdDev = 0.179 ms
