// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\97bbdc74-6466-4273-b87e-3e412fc6edb6
// command took 1.14s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\97bbdc74-6466-4273-b87e-3e412fc6edb6
// command took 12.21s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\97bbdc74-6466-4273-b87e-3e412fc6edb6
// command took 2.22s and exited with 0
// ***** Done, took 00:00:15 (15.8 sec)   *****
// Found 3 benchmarks:
//   Implementations.GetMostFrequentWithLinq: DefaultJob
//   Implementations.GetMostFrequentWithDictionary: DefaultJob
//   Implementations.GetFromStackoverflow: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: Implementations.GetMostFrequentWithLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 97bbdc74-6466-4273-b87e-3e412fc6edb6.dll --anonymousPipes 1880 1864 --benchmarkName FindMostFrequent.Implementations.GetMostFrequentWithLinq --job Default --benchmarkId 0 in C:\Users\kzakrys\source\repos\FindMostFrequentElement\FindMostFrequent\bin\Release\net6.0\97bbdc74-6466-4273-b87e-3e412fc6edb6\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.15 (6.0.1523.11507), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 215100.00 ns, 215.1000 us/op
WorkloadJitting  1: 1 op, 6693259000.00 ns, 6.6933 s/op

OverheadJitting  2: 1 op, 300.00 ns, 300.0000 ns/op
WorkloadJitting  2: 1 op, 7698927100.00 ns, 7.6989 s/op

WorkloadWarmup   1: 1 op, 7243700700.00 ns, 7.2437 s/op
WorkloadWarmup   2: 1 op, 7740060200.00 ns, 7.7401 s/op
WorkloadWarmup   3: 1 op, 8381730800.00 ns, 8.3817 s/op
WorkloadWarmup   4: 1 op, 8413561100.00 ns, 8.4136 s/op
WorkloadWarmup   5: 1 op, 8302026400.00 ns, 8.3020 s/op
WorkloadWarmup   6: 1 op, 8465637500.00 ns, 8.4656 s/op
WorkloadWarmup   7: 1 op, 8346985700.00 ns, 8.3470 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 8250731600.00 ns, 8.2507 s/op
WorkloadActual   2: 1 op, 8326094400.00 ns, 8.3261 s/op
WorkloadActual   3: 1 op, 8412026900.00 ns, 8.4120 s/op
WorkloadActual   4: 1 op, 8225689900.00 ns, 8.2257 s/op
WorkloadActual   5: 1 op, 7227363700.00 ns, 7.2274 s/op
WorkloadActual   6: 1 op, 7597075300.00 ns, 7.5971 s/op
WorkloadActual   7: 1 op, 7213019800.00 ns, 7.2130 s/op
WorkloadActual   8: 1 op, 7640537400.00 ns, 7.6405 s/op
WorkloadActual   9: 1 op, 6841893700.00 ns, 6.8419 s/op
WorkloadActual  10: 1 op, 7864724600.00 ns, 7.8647 s/op
WorkloadActual  11: 1 op, 6780676300.00 ns, 6.7807 s/op
WorkloadActual  12: 1 op, 7844822600.00 ns, 7.8448 s/op
WorkloadActual  13: 1 op, 7002973300.00 ns, 7.0030 s/op
WorkloadActual  14: 1 op, 7737235000.00 ns, 7.7372 s/op
WorkloadActual  15: 1 op, 6940306700.00 ns, 6.9403 s/op
WorkloadActual  16: 1 op, 7668536900.00 ns, 7.6685 s/op
WorkloadActual  17: 1 op, 6793003800.00 ns, 6.7930 s/op
WorkloadActual  18: 1 op, 7551465500.00 ns, 7.5515 s/op
WorkloadActual  19: 1 op, 8464569300.00 ns, 8.4646 s/op
WorkloadActual  20: 1 op, 8131601500.00 ns, 8.1316 s/op
WorkloadActual  21: 1 op, 8559190500.00 ns, 8.5592 s/op
WorkloadActual  22: 1 op, 7271118700.00 ns, 7.2711 s/op
WorkloadActual  23: 1 op, 7408750300.00 ns, 7.4088 s/op
WorkloadActual  24: 1 op, 6849596000.00 ns, 6.8496 s/op
WorkloadActual  25: 1 op, 7499199600.00 ns, 7.4992 s/op
WorkloadActual  26: 1 op, 6977870100.00 ns, 6.9779 s/op
WorkloadActual  27: 1 op, 7299870400.00 ns, 7.2999 s/op
WorkloadActual  28: 1 op, 6937280800.00 ns, 6.9373 s/op
WorkloadActual  29: 1 op, 7478678500.00 ns, 7.4787 s/op
WorkloadActual  30: 1 op, 7063827000.00 ns, 7.0638 s/op
WorkloadActual  31: 1 op, 7262490600.00 ns, 7.2625 s/op
WorkloadActual  32: 1 op, 6758224100.00 ns, 6.7582 s/op
WorkloadActual  33: 1 op, 7302354500.00 ns, 7.3024 s/op
WorkloadActual  34: 1 op, 6661784600.00 ns, 6.6618 s/op
WorkloadActual  35: 1 op, 7164080800.00 ns, 7.1641 s/op
WorkloadActual  36: 1 op, 6685313000.00 ns, 6.6853 s/op
WorkloadActual  37: 1 op, 7496192400.00 ns, 7.4962 s/op
WorkloadActual  38: 1 op, 6809321200.00 ns, 6.8093 s/op
WorkloadActual  39: 1 op, 7355869100.00 ns, 7.3559 s/op
WorkloadActual  40: 1 op, 6963454900.00 ns, 6.9635 s/op
WorkloadActual  41: 1 op, 7708558900.00 ns, 7.7086 s/op
WorkloadActual  42: 1 op, 6995409600.00 ns, 6.9954 s/op
WorkloadActual  43: 1 op, 8031546900.00 ns, 8.0315 s/op
WorkloadActual  44: 1 op, 6963196200.00 ns, 6.9632 s/op
WorkloadActual  45: 1 op, 7768783000.00 ns, 7.7688 s/op
WorkloadActual  46: 1 op, 7059307800.00 ns, 7.0593 s/op
WorkloadActual  47: 1 op, 7878794700.00 ns, 7.8788 s/op
WorkloadActual  48: 1 op, 7006468500.00 ns, 7.0065 s/op
WorkloadActual  49: 1 op, 7639972600.00 ns, 7.6400 s/op
WorkloadActual  50: 1 op, 6825121900.00 ns, 6.8251 s/op
WorkloadActual  51: 1 op, 7754870200.00 ns, 7.7549 s/op
WorkloadActual  52: 1 op, 6874766300.00 ns, 6.8748 s/op
WorkloadActual  53: 1 op, 7583515100.00 ns, 7.5835 s/op
WorkloadActual  54: 1 op, 6808424900.00 ns, 6.8084 s/op
WorkloadActual  55: 1 op, 7841263400.00 ns, 7.8413 s/op
WorkloadActual  56: 1 op, 7583320500.00 ns, 7.5833 s/op
WorkloadActual  57: 1 op, 8484318200.00 ns, 8.4843 s/op
WorkloadActual  58: 1 op, 7408257600.00 ns, 7.4083 s/op
WorkloadActual  59: 1 op, 7805222900.00 ns, 7.8052 s/op
WorkloadActual  60: 1 op, 7058986400.00 ns, 7.0590 s/op
WorkloadActual  61: 1 op, 7625127800.00 ns, 7.6251 s/op
WorkloadActual  62: 1 op, 6760005400.00 ns, 6.7600 s/op
WorkloadActual  63: 1 op, 7587190800.00 ns, 7.5872 s/op
WorkloadActual  64: 1 op, 6883710500.00 ns, 6.8837 s/op
WorkloadActual  65: 1 op, 7603101900.00 ns, 7.6031 s/op
WorkloadActual  66: 1 op, 6839867000.00 ns, 6.8399 s/op
WorkloadActual  67: 1 op, 7680308300.00 ns, 7.6803 s/op
WorkloadActual  68: 1 op, 6810752300.00 ns, 6.8108 s/op
WorkloadActual  69: 1 op, 7514855800.00 ns, 7.5149 s/op
WorkloadActual  70: 1 op, 6760986900.00 ns, 6.7610 s/op
WorkloadActual  71: 1 op, 7629901800.00 ns, 7.6299 s/op
WorkloadActual  72: 1 op, 6791362000.00 ns, 6.7914 s/op
WorkloadActual  73: 1 op, 7636834500.00 ns, 7.6368 s/op
WorkloadActual  74: 1 op, 7230145600.00 ns, 7.2301 s/op
WorkloadActual  75: 1 op, 7476403500.00 ns, 7.4764 s/op
WorkloadActual  76: 1 op, 6728142200.00 ns, 6.7281 s/op
WorkloadActual  77: 1 op, 7209425800.00 ns, 7.2094 s/op
WorkloadActual  78: 1 op, 7108930000.00 ns, 7.1089 s/op
WorkloadActual  79: 1 op, 7724479000.00 ns, 7.7245 s/op
WorkloadActual  80: 1 op, 6845902400.00 ns, 6.8459 s/op
WorkloadActual  81: 1 op, 7497676500.00 ns, 7.4977 s/op
WorkloadActual  82: 1 op, 6692993600.00 ns, 6.6930 s/op
WorkloadActual  83: 1 op, 7301783400.00 ns, 7.3018 s/op
WorkloadActual  84: 1 op, 6716443100.00 ns, 6.7164 s/op
WorkloadActual  85: 1 op, 7394186600.00 ns, 7.3942 s/op
WorkloadActual  86: 1 op, 6777828500.00 ns, 6.7778 s/op
WorkloadActual  87: 1 op, 7348711400.00 ns, 7.3487 s/op
WorkloadActual  88: 1 op, 6951236500.00 ns, 6.9512 s/op
WorkloadActual  89: 1 op, 8080310800.00 ns, 8.0803 s/op
WorkloadActual  90: 1 op, 6671012700.00 ns, 6.6710 s/op
WorkloadActual  91: 1 op, 7206896500.00 ns, 7.2069 s/op
WorkloadActual  92: 1 op, 6704957900.00 ns, 6.7050 s/op
WorkloadActual  93: 1 op, 7213630600.00 ns, 7.2136 s/op
WorkloadActual  94: 1 op, 6727524400.00 ns, 6.7275 s/op
WorkloadActual  95: 1 op, 7369071200.00 ns, 7.3691 s/op
WorkloadActual  96: 1 op, 6800276400.00 ns, 6.8003 s/op
WorkloadActual  97: 1 op, 8226474200.00 ns, 8.2265 s/op
WorkloadActual  98: 1 op, 6849961800.00 ns, 6.8500 s/op
WorkloadActual  99: 1 op, 7492720500.00 ns, 7.4927 s/op
WorkloadActual  100: 1 op, 6574031000.00 ns, 6.5740 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 8250731600.00 ns, 8.2507 s/op
WorkloadResult   2: 1 op, 8326094400.00 ns, 8.3261 s/op
WorkloadResult   3: 1 op, 8412026900.00 ns, 8.4120 s/op
WorkloadResult   4: 1 op, 8225689900.00 ns, 8.2257 s/op
WorkloadResult   5: 1 op, 7227363700.00 ns, 7.2274 s/op
WorkloadResult   6: 1 op, 7597075300.00 ns, 7.5971 s/op
WorkloadResult   7: 1 op, 7213019800.00 ns, 7.2130 s/op
WorkloadResult   8: 1 op, 7640537400.00 ns, 7.6405 s/op
WorkloadResult   9: 1 op, 6841893700.00 ns, 6.8419 s/op
WorkloadResult  10: 1 op, 7864724600.00 ns, 7.8647 s/op
WorkloadResult  11: 1 op, 6780676300.00 ns, 6.7807 s/op
WorkloadResult  12: 1 op, 7844822600.00 ns, 7.8448 s/op
WorkloadResult  13: 1 op, 7002973300.00 ns, 7.0030 s/op
WorkloadResult  14: 1 op, 7737235000.00 ns, 7.7372 s/op
WorkloadResult  15: 1 op, 6940306700.00 ns, 6.9403 s/op
WorkloadResult  16: 1 op, 7668536900.00 ns, 7.6685 s/op
WorkloadResult  17: 1 op, 6793003800.00 ns, 6.7930 s/op
WorkloadResult  18: 1 op, 7551465500.00 ns, 7.5515 s/op
WorkloadResult  19: 1 op, 8464569300.00 ns, 8.4646 s/op
WorkloadResult  20: 1 op, 8131601500.00 ns, 8.1316 s/op
WorkloadResult  21: 1 op, 8559190500.00 ns, 8.5592 s/op
WorkloadResult  22: 1 op, 7271118700.00 ns, 7.2711 s/op
WorkloadResult  23: 1 op, 7408750300.00 ns, 7.4088 s/op
WorkloadResult  24: 1 op, 6849596000.00 ns, 6.8496 s/op
WorkloadResult  25: 1 op, 7499199600.00 ns, 7.4992 s/op
WorkloadResult  26: 1 op, 6977870100.00 ns, 6.9779 s/op
WorkloadResult  27: 1 op, 7299870400.00 ns, 7.2999 s/op
WorkloadResult  28: 1 op, 6937280800.00 ns, 6.9373 s/op
WorkloadResult  29: 1 op, 7478678500.00 ns, 7.4787 s/op
WorkloadResult  30: 1 op, 7063827000.00 ns, 7.0638 s/op
WorkloadResult  31: 1 op, 7262490600.00 ns, 7.2625 s/op
WorkloadResult  32: 1 op, 6758224100.00 ns, 6.7582 s/op
WorkloadResult  33: 1 op, 7302354500.00 ns, 7.3024 s/op
WorkloadResult  34: 1 op, 6661784600.00 ns, 6.6618 s/op
WorkloadResult  35: 1 op, 7164080800.00 ns, 7.1641 s/op
WorkloadResult  36: 1 op, 6685313000.00 ns, 6.6853 s/op
WorkloadResult  37: 1 op, 7496192400.00 ns, 7.4962 s/op
WorkloadResult  38: 1 op, 6809321200.00 ns, 6.8093 s/op
WorkloadResult  39: 1 op, 7355869100.00 ns, 7.3559 s/op
WorkloadResult  40: 1 op, 6963454900.00 ns, 6.9635 s/op
WorkloadResult  41: 1 op, 7708558900.00 ns, 7.7086 s/op
WorkloadResult  42: 1 op, 6995409600.00 ns, 6.9954 s/op
WorkloadResult  43: 1 op, 8031546900.00 ns, 8.0315 s/op
WorkloadResult  44: 1 op, 6963196200.00 ns, 6.9632 s/op
WorkloadResult  45: 1 op, 7768783000.00 ns, 7.7688 s/op
WorkloadResult  46: 1 op, 7059307800.00 ns, 7.0593 s/op
WorkloadResult  47: 1 op, 7878794700.00 ns, 7.8788 s/op
WorkloadResult  48: 1 op, 7006468500.00 ns, 7.0065 s/op
WorkloadResult  49: 1 op, 7639972600.00 ns, 7.6400 s/op
